字母,等级,歌名,歌手,突变,技能,单排爆点,开头描述,结尾描述,半cb,全cb,分数,单指数
B,6,"Break The Rules","Charli XCX",,红色,110,A - 右上角数字 13 单点,A - 下面数字 14 单点,141,296,930475,32 + 0.0
,,"唱起这首歌","刘人语",,红色,183、197,B - 左下角数字 1 蓝条开始,B - 右边数字 12 单点,182,355,941566,28 - 0.1
,,"Light up","刘人语",,,134、386,A - 上面数字 5 绿条中间,A - 右边数字 1 单点,286,563,1508829,29 - 0.4
A,9,"A型のうた","西野カナ",,,249、250、251、252,B - 左上角数字 9 单点,B - 中间数字 4 单点,208,426,1284573,30 + 0.0
,,"All Mine","f(x)",,红色,101、298,A - 右上角数字 1 蓝条中间,A - 左下角数字 8 蓝条中间,188,368,983107,34 - 0.1
,,"永世のクレイドル","鈴華ゆう子",,红色,161、398,A - 左上角数字 9 绿条结尾、右上角数字 1 单点,A - 左上角数字 5 绿条结尾、右下角数字 6 单点,224,462,1056434,30 - 0.2
R,8,"Radiant","TANGRAM",,,279,B - 左上角数字 1 单点,B - 右下角数字 6 单点,217,454,1113789,28 - 0.1
,,"Ever After","Alice",,,377,B - 左下角数字 15 蓝条开始,B - 左上角数字 2 单点,209,411,1016097,25 - 0.5
,,"One In A Billion","Wake Up, May'n!",,,583,B - 左下角数字 4 蓝条开始,B - 左边数字 2 单点、中间数字 2 单点,318,656,1641585,36 - 0.5
W,8,"我只喜欢你","胡夏",,,241,B - 左上角数字 1 单点,B - 左边数字 7 绿条中间,162,420,1177244,26 - 0.3
S,7,"Sunny Side Up!","Red Velvet",,红色,130、130、131、131、277、277、278、278,A - 中间数字 1 单点（cool）、左边数字 2 单点,A - 右下角数字 7 单点、右下角数字 8 单点（cool）,178,348,937741,30 - 0.3
,,"Snapping","金请夏",,红色,222,B - 右上角数字 3 蓝条开始,B - 下面数字 8 绿条开始,116,258,805695,25 + 0.2
,,"长安巷","排骨教主",,红色,192,B - 左下角数字 10 单点,B - 右边数字 8 单点,113,227,624771,25 - 0.2
B,7,"Birthday","罗志祥",,,241,B - 右上角数字 1 单点,B - 左上角数字 4 单点,240,402,1055404,27 + 0.1
,,"アリエラ","佐香智久/天月-あまつき-",,,125、126、127、128、129、130、131、134、135、136,A - 右上角数字 4 单点,A - 左下角数字 8 蓝条中间,227,513,1489321,36 + 0.4
L,9,"啰哩叭唆","陈嘉桦",20,,100、101、332、333,A - 右下角数字 1 单点,A - 左上角数字 6 蓝条结尾、右下角数字 7 单点,222,454,1353848,29 + 0.0
,,"Leave Out All The Rest","Linkin Park",,红色,291,B - 左边数字 4 蓝条开始,B - 左上角数字 9 单点,231,511,1112501,31 - 0.1
Q,7,"群居动物","胡66",,红色,292,B - 左上角数字 7 绿条结尾、右下角数字 1 单点,B - 左下角数字 7 单点,178,357,951594,25 + 0.2
,,"I Still Do","Why Don't We",,红色,188,B - 右上角数字 2 单点,B - 右下角数字 5 单点,158,279,691352,26 - 0.5
F,7,"Focus","TANGRAM",,,203、204,B - 左下角数字 4 单点,B - 左上角数字 9 蓝条结尾,168,414,1306873,30 + 0.0
I,7,"I Want You to Know","Zedd/Selena Gomez",,,145、146、147、304、305、306,A - 右下角数字 7 单点,A - 左下角数字 2 单点,224,442,1250309,27 - 0.3
G,7,"孤身","徐秉龙",,红色,185、186、186,B - 右上角数字 8 单点,B - 右上角数字 5 绿条结尾、右上角数字 6 单点（cool）,159,302,878116,31 - 0.1
,,"我们很好","林俊杰",,红色,188,B - 左上角数字 3 单点,B - 右下角数字 9 绿条开始,137,273,717882,27 + 0.1
Z,7,"着陆","白举纲",,红色,230,B - 右上角数字 1 单点,B - 左下角数字 7 蓝条结尾,160,377,1069302,30 + 0.0
,,"DAYS of DASH","鈴木このみ",,,217、502,A - 左下角数字 1 单点,A - 左下角数字 8 单点,284,569,1324514,31 + 0.4
,,"BEE","Rothy",,红色,133、134、135、136,B - 左下角数字 1 单点,B - 右上角数字 11 蓝条结尾,132,253,675001,24 - 0.1
,,"HIT","SEVENTEEN",,,152、308,A - 左下角数字 6 绿条结尾、右上角数字 1 单点,A - 左下角数字 6 单点,193,368,1062706,26 + 0.2
,,"光耀","梁心颐",,红色,119、280,A - 左下角数字 4 绿条结尾,A - 右上角数字 6 单点,173,334,903208,28 + 0.2
P,6,"Pink Magic","艺声",,红色,264,B - 右下角数字 2 单点,B - 左下角数字 4 单点,166,347,966544,29 + 0.2
W,7,"我很快乐","刘惜君",,红色,100、101、101、214、215、215,A - 左上角数字 14 单点,A - 左上角数字 2 单点、左上角数字 3 单点（cool）,155,315,923083,29 - 0.1
F,8,"浮年盏","刘珂矣",,,197、343、435,A - 右下角数字 1 单点,A - 右上角数字 11 单点,233,494,1125941,23 - 0.4
L,6,"流光记","银临",,红色,261、262、262,B - 右上角数字 2 单点,B - 右下角数字 7 单点、右下角数字 8 单点（cool）,175,332,866795,27 - 0.2
H,6,"好奇的猫","胡66",,红色,118、266,A - 右下角数字 4 单点,A - 右上角数字 10 单点,155,303,899015,26 + 0.0
,,"傻了吧","大张伟",,,254、255、256、257、258、259,B - 右下角数字 1 蓝条开始,B - 右上角数字 8 蓝条开始,253,608,1732454,37 + 0.0
,,"树洞","欧阳娜娜",,,169、355,A - 右上角数字 14 绿条结尾,A - 上面数字 6 单点,241,428,1143084,26 - 0.2
,,"有你我就不孤单","罗志祥/恺乐/C.T.O",,,177、345,A - 右下角数字 7 单点,A - 右下角数字 14 绿条开始,208,436,1055710,25 + 0.1
,,"Summer Time","倖田來未",,,155、210、378、433,A - 左上角数字 1 单点,A - 左下角数字 8 单点,263,512,1346202,35 - 0.2
,,"好喜欢你","颜人中",,红色,118,B - 右下角数字 1 单点,B - 右上角数字 15 单点,108,237,609379,25 - 0.2
L,8,"Light","San Holo",,,257,B - 右下角数字 1 单点,B - 左上角数字 5 单点,213,435,1150999,26 + 0.0
A,9,"Another(Feat. 王嘉尔)","秦奋",,,367,B - 右下角数字 1 单点,B - 中间数字 6 单点,257,536,1548530,30 - 0.1
,,"カーストルーム","ZAQ",,,122、354,A - 右上角数字 4 单点,A - 左上角数字 8 蓝条结尾、右边数字 9 单点,219,520,1264795,26 + 0.4
,,"Ring of Fortune","佐々木恵梨",,,306,B - 右上角数字 4 单点,B - 右上角数字 9 单点,274,554,1496779,27 - 0.2
W,8,"我要飞","飞儿乐团",,,209、210、215,B - 右上角数字 1 蓝条开始,B - 右上角数字 2 蓝条开始,208,414,1097880,28 + 0.1
,,"世界は恋に落ちている","CHiCO with HoneyWorks",,红色,106、107、107、325、326、326,A - 下面数字 3 单点,A - 上面数字 9 单点、上面数字 10 单点（cool）,205,422,1132771,32 + 0.0
,,"别再靠近我了","陈雪凝",,红色,128,A - 右上角数字 4 单点,A - 右下角数字 8 单点,221,392,1055314,30 + 0.0
,,"Talking to Myself","Linkin Park",,,382、383,B - 左下角数字 7 蓝条开始,B - 左下角数字 1 单点,250,427,1242411,29 - 0.2
